"","Site","n","alpha","theta_s","theta_r","r.2"
"1","Ayora.ES",1.21961324101108,9.99999893271165,0.504982106757517,0,0.996592103870673
"2","GIG",1.12726205200638,9999.98848672293,0.738852493337027,0,0.912905868044681
"3","P12",1.15159435432729,9999.99226000941,0.749285305420295,0,0.972896532184164
"4","P13",1.13140999695509,9999.98251081387,0.764487771463165,0,0.985982782617662
"5","PNE_unburned",1.11736273500335,9999.99798112479,0.598566124965233,0,0.96573669272143
"6","Purdue.us",1.35121197508289,71.721232983936,0.627858604071976,0,0.995017089976054
"7","Sev.mix",1.15431442397514,9999.86144994958,0.375467805507783,0,0.765476494855489
"8","baddrt.de",1.27379824542793,388.531269757773,0.672827877868886,0,0.993391703731064
"9","brhill.au",1.27137459468084,39.0963473466168,0.392158463384437,0,0.997498225803192
"10","brookdale.ca",1.14076183536092,9999.98453395427,0.752341485778001,0,0.977661195307635
"11","cedarsav.us",1.2633417662606,9999.99395890507,0.573952592395717,0,0.936777135427822
"12","cobar.au",1.26903854259352,5.41670781711196,0.380637136927174,0,0.990574693967623
"13","cowidrt.ca",1.1848680573358,1162.74222427712,0.638466113619188,0,0.984995111187758
"14","dona.ana",1.18035006642517,4250.07248595879,0.408520604647205,0,0.833983672213891
"15","hoide.de",1.13315349338109,9999.91062104569,0.442552624014817,0,0.943704843186668
"16","horacg,cr",1.1512676876802,184.267249382546,0.584847790634238,0,0.938246663490421
"17","hyide.de",1.08829896262874,8882.14346173159,0.262732645982753,0,0.698474758703893
"18","lygra.no",1.254284805591,533.891840454848,0.999949843175503,0,0.947340671513374
"19","nyngan.au",1.3038624366849,27.2982600401833,0.470866034647424,0,0.95752480581915
"20","passogavia.it",1.21165165983444,4.54590788923231,0.278939939004325,0,0.950392343348343
"21","riomayo.ar",1.12702237168038,7818.93288277662,0.2479191837916,0,0.837804414487388
"22","scruzl.us",1.224758812906,958.174461127262,0.549847876678886,0,0.995092870640849
"23","sgsdrt.us",1.24559883247953,28.1642664475696,0.410624405536011,0,0.893844591729964
"24","skotsvar.no",1.137437312247,9.99987710186887,0.238062602099721,0,0.894835785567931
"25","ukulingadrt.za",1.18467078025629,114.95631810677,0.597819190294897,0,0.998736634992378
"26","wayqe.re",1.24286617121329,80.3760225050535,0.334706197821984,0,0.975556783242152
